City Name,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness%,Wind MPH
Beaverlodge,CA,55.22,-119.44,86,33,20,5.82
Lebu,CL,-37.62,-73.65,46.22,70,6,12.41
Port Macquarie,AU,-31.43,152.92,64.99,63,68,1.01
Clyde River,CA,70.47,-68.59,41,100,90,13.87
Honiara,SB,-9.43,159.95,86,79,20,11.41
Avarua,CK,-21.21,-159.78,71.6,78,80,8.05
Mitsamiouli,KM,-11.38,43.28,74.55,74,100,11.81
Marabu,MY,4.41,114.01,77,100,40,2.24
Paita,PE,-5.09,-81.11,65.14,78,1,16.87
Ancud,CL,-41.87,-73.82,40.98,93,49,4.7
Praia,CV,14.92,-23.51,78.8,74,75,5.82
Riihimäki,FI,60.74,24.78,63.3,77,100,6.93
Saint-Philippe,RE,-21.36,55.77,61.36,82,94,4.7
Grand Gaube,MU,-20.01,57.66,66,82,1,4
Castro,CL,-42.47,-73.77,41.18,93,40,4.7
Durban,ZA,-29.86,31.03,58.66,93,75,1.12
Kigali,RW,-1.95,30.06,68.54,56,40,2.24
Acapulco de Juárez,MX,16.86,-99.89,77,94,90,13.87
Balotra,IN,25.83,72.23,88.23,67,11,15.82
Lompoc,US,34.64,-120.46,69.08,60,4,16.11
Santa Marta,CO,11.24,-74.2,86,75,87,14.92
Kamphaeng Phet,TH,16.48,99.52,78.15,86,100,1.9
Kattivākkam,IN,13.22,80.32,84.2,83,40,9.17
Snezhnogorsk,RU,69.19,33.25,50,93,2,2.82
San Quintín,MX,30.48,-115.95,73.24,68,2,17.36
Bilibino,RU,68.05,166.44,52.45,54,94,5.5
Egvekinot,RU,66.32,-179.17,52.54,73,71,8.59
Jaciara,BR,-15.97,-54.97,74.53,31,0,3.42
Caravelas,BR,-17.71,-39.25,70.34,75,10,5.23
Ugoofaaru,MV,5.67,73,81.36,79,74,12.37
Korla,CN,41.76,86.15,78.01,79,77,5.99
Dehlorān,IR,32.69,47.27,101.68,10,0,8.79
Henties Bay,NA,-22.12,14.28,60.01,83,0,3.18
Arraial do Cabo,BR,-22.97,-42.03,73.4,73,20,12.75
Neijiang,CN,29.58,105.06,74.28,86,1,1.74
Ilulissat,GL,69.22,-51.1,42.8,81,97,2.24
Dikson,RU,73.51,80.55,39.61,84,55,13.56
Qasigiannguit,GL,68.82,-51.19,42.8,81,100,2.24
Tarauacá,BR,-8.16,-70.77,78.39,67,62,0.78
Aykhal,RU,66,111.5,41,93,90,2.24
Portland,AU,-38.33,141.6,49.55,82,23,2.98
Saint Paul Harbor,US,57.79,-152.41,62.6,67,20,8.05
Departamento de Colonia,UY,-34.17,-57.5,47.88,66,95,16.11
Oranjemund,NA,-28.55,16.43,58.53,73,0,4.16
Kieta,PG,-6.22,155.63,83.7,68,100,2.8
Ongandjera,NA,-17.88,15.07,59.9,33,0,7.83
Pucallpa,PE,-8.38,-74.55,82.4,69,20,4.7
Butaritari,KI,3.07,172.79,82.78,81,100,11.18
Tortolì,IT,39.93,9.66,76.96,94,5,2.24
Chapais,CA,49.78,-74.85,68,88,90,4.7
Vila Velha,BR,-20.33,-40.29,73.89,78,0,4.7
Vengerovo,RU,55.68,76.75,52.11,87,0,2.42
Talcahuano,CL,-36.72,-73.12,48.2,66,10,4.7
Arlit,NE,18.74,7.39,94.41,34,78,16.17
La Asuncion,VE,11.03,-63.86,91.4,63,60,10.29
Sinazongwe,ZM,-17.26,27.46,61.86,49,0,4.9
Goundam,ML,16.41,-3.67,88.84,50,63,2.66
Tuktoyaktuk,CA,69.45,-133.04,66.2,63,75,14.99
San Bartolomé de Tirajana,ES,27.92,-15.57,73.18,73,75,27.51
Georgetown,SH,-7.93,-14.42,74.82,74,4,16.89
Sørland,NO,67.67,12.69,54.34,96,70,3.58
Nikolskoye,RU,59.7,30.79,59.22,77,22,6.71
Hilo,US,19.73,-155.09,78.08,62,75,9.17
Bima,ID,-8.47,118.72,71.38,88,21,4.18
Hithadhoo,MV,-0.6,73.08,81.54,79,100,10.18
Kalmunai,LK,7.42,81.82,76.78,90,100,9.19
Puerto Ayora,EC,-0.74,-90.35,68.72,78,40,16.11
Chinhoyi,ZW,-17.37,30.2,47.89,71,5,4.21
Safi,MA,32.3,-9.24,70.93,87,0,12.01
Åkersberga,SE,59.48,18.3,57.61,89,68,1.01
Lukovetskiy,RU,64.3,41.92,57.2,100,40,2.3
Torbay,CA,47.67,-52.73,57.29,100,90,5.82
Victoria,SC,-4.62,55.45,78.8,88,75,12.75
Kumul,CN,42.8,93.45,79.97,28,4,11.43
San Juan,US,26.19,-98.16,82.99,66,1,9.17
San Isidro,PH,15.02,120.82,78.94,94,100,2.84
Jati,ID,-6.52,106.2,72.19,83,20,5.82
Vila Franca do Campo,PT,37.72,-25.43,71.6,94,20,2.24
Cabo San Lucas,MX,22.89,-109.91,90.21,55,75,10.29
Jamestown,SH,-15.94,-5.72,64.24,81,79,19.6
Mackenzie,CA,55.3,-123.17,81.36,29,45,9.44
Nanortalik,GL,60.14,-45.24,46.56,94,100,6.98
Alcains,PT,39.92,-7.46,73.09,46,0,3
Margate,ZA,-30.86,30.37,59.67,77,67,12.53
Ostrovnoy,RU,68.05,39.51,53.87,88,0,1.34
East London,ZA,-33.02,27.91,57.97,73,12,14.56
Kilindoni,TZ,-7.91,39.67,76.86,75,0,23.15
Chui,UY,-33.7,-53.46,50.22,86,52,6.15
Finnsnes,NO,69.23,17.98,59,87,73,14.99
Mahibadhoo,MV,3.78,72.97,81.79,79,89,12.44
Luwuk,ID,-0.95,122.79,77.54,77,95,6.64
Boende,CD,-0.22,20.87,72.41,88,14,0.54
Albany,AU,-35.02,117.89,50,93,75,9.17
Ponta do Sol,CV,17.2,-25.09,78.8,69,75,16.11
Katsuura,JP,35.13,140.3,80.94,94,75,13.87
Lufilufi,WS,-13.87,-171.6,82,83,81,8.99
Verkhnevilyuysk,RU,63.45,120.32,53.74,66,100,7.29
Vokhma,RU,58.93,46.76,56.64,91,74,1.61
Tuatapere,NZ,-46.13,167.68,41,91,100,1.01
São Miguel do Araguaia,BR,-13.28,-50.16,75.94,43,0,1.99
Yeniseysk,RU,58.45,92.17,52.92,85,0,1.79
Mucurapo,TT,10.67,-61.53,79.68,88,40,7.25
Tarko-Sale,RU,64.92,77.78,51.01,91,100,12.37
Pavullo nel Frignano,IT,44.33,10.84,72.68,71,0,1.01
Oodweyne,SO,9.41,45.06,72.93,54,7,15.61
Xiaoweizhai,CN,26.19,107.51,68.97,89,0,1.19
Ekhabi,RU,53.51,142.97,63.16,84,51,6.71
Eureka,US,40.8,-124.16,64.51,48,8,1.99
Ixtapa,MX,20.7,-105.2,83.59,79,90,4.7
Faanui,PF,-16.48,-151.75,78.82,81,100,15.05
Casandrino,IT,40.93,14.25,76.44,57,0,1.12
Santa Fe,AR,-31.63,-60.7,55.38,40,72,4
Turukhansk,RU,65.82,87.98,52.14,62,78,18.03
Pargas,FI,60.31,22.3,59,100,75,2.24
Naze,JP,28.37,129.48,86,84,40,11.41
Namatanai,PG,-3.67,152.43,83.62,70,1,5.73
Saldanha,ZA,-33.01,17.94,46.4,65,0,2.24
Muhos,FI,64.81,25.99,59.88,82,90,6.93
Bantry,IE,51.68,-9.45,55.4,82,40,8.05
Zemio,CF,5.03,25.14,69.42,95,100,2.59
Trairi,BR,-3.28,-39.27,78.4,74,4,11.41
Cape Town,ZA,-33.93,18.42,52.05,100,0,2.24
Pangnirtung,CA,66.15,-65.71,62.6,51,90,13.87
Qaanaaq,GL,77.48,-69.36,46.17,57,76,3.15
Litovko,RU,49.24,135.17,71.64,82,1,3.74
Pangody,RU,65.85,74.49,47.32,77,39,11.92
Nyakahanga,TZ,-1.6,31.14,61.16,61,32,1.63
Sivaki,RU,52.63,126.75,72.88,84,0,6.4
Bethel,US,41.37,-73.41,86.59,55,1,9.17
Nova Londrina,BR,-22.77,-52.98,72.9,50,62,7.65
Rosarito,MX,32.33,-117.03,75.38,60,5,20.8
Yumen,CN,40.28,97.2,68.97,21,0,7.61
Lavrentiya,RU,65.58,-171,49.8,82,48,14.99
Sibu,MY,2.3,111.82,73.17,100,40,1.57
Cherskiy,RU,68.75,161.3,46.56,55,40,10.96
Paamiut,GL,61.99,-49.67,47.16,84,96,2.51
Oleksandrivka,UA,48.96,32.23,69.04,59,99,6.35
Tsnori,GE,41.62,45.97,78.8,65,40,9.17
Atar,MR,20.52,-13.05,95.29,33,55,11.36
Puquio,PE,-14.7,-74.13,51.08,42,0,4.43
Penzance,GB,50.12,-5.54,56.68,93,20,9.17
Kirksville,US,40.19,-92.58,83.05,70,40,5.82
Shimoda,JP,34.67,138.95,77.38,100,75,17.22
Upernavik,GL,72.79,-56.15,44.8,87,1,4.7
Marsh Harbour,BS,26.54,-77.06,83.28,73,38,8.32
Orlik,RU,52.52,99.83,51.51,73,0,1.39
Fergus Falls,US,46.28,-96.08,78.85,50,1,11.41
Merowe,SD,18.48,31.82,87.24,48,65,15.3
Fuerte Olimpo,PY,-21.04,-57.87,76.77,40,0,4.59
Boulder,US,40.08,-105.35,82.6,27,1,6.93
Mayo,CA,63.59,-135.9,55.4,87,90,2.24
Vardø,NO,70.37,31.11,55.4,87,0,5.82
Sanchursk,RU,56.94,47.25,57.72,86,0,1.57
Laguna,BR,-28.48,-48.78,63.54,91,88,5.64
Ust-Tsilma,RU,65.44,52.15,53.73,71,11,3.56
Orbetello,IT,42.44,11.22,72.36,83,0,2.24
Kedrovyy,RU,56.17,91.82,53.6,93,0,2.3
Mosquera,CO,4.71,-74.23,59,62,40,10.29
Port Elizabeth,ZA,-33.92,25.57,50,76,0,5.82
Roura,GF,4.73,-52.33,77,94,55,2.06
Porto Novo,CV,17.02,-25.06,78.8,69,75,16.11
Sisimiut,GL,66.94,-53.67,44.87,94,100,11.9
San Patricio,MX,19.22,-104.7,89.6,66,40,11.41
Inta,RU,66.03,60.17,49.12,76,56,9.08
Ambanja,MG,-13.68,48.45,69.17,82,18,2.8
Ndjolé,GA,-0.18,10.76,73.6,81,36,3.38
Glenwood Springs,US,39.55,-107.32,82.78,14,20,8.05
Merritt Island,US,28.54,-80.67,75.27,88,20,5.82
Kuruman,ZA,-27.45,23.43,43,52,0,8.93
Tual,ID,-5.67,132.75,78.76,80,100,20.87
Caibarién,CU,22.52,-79.47,86,74,40,14.99
Russell,NZ,-35.26,174.12,63,3,91,8.99
Piteå,SE,65.32,21.48,59,93,100,1.12
Cassilândia,BR,-19.11,-51.73,73.6,39,0,6.44
Ahipara,NZ,-35.17,173.17,59.34,67,97,10.04
Tërny,UA,50.98,33.98,64.54,85,34,7.38
Tyul'gan,RU,52.34,56.17,52.92,93,0,4.23
Härnösand,SE,62.63,17.94,55.83,100,98,3.36
Bathsheba,BB,13.22,-59.52,82.4,78,40,19.46
Ambilobe,MG,-13.2,49.05,70.9,77,78,1.7
Lernanist,AM,40.47,44.79,82.4,42,0,12.75
Auxerre,FR,47.8,3.57,70.75,62,0,8.23
Port Lincoln,AU,-34.73,135.87,49.24,77,100,8.28
Husavik,IS,66.04,-17.34,48.2,66,75,11.41
Hualmay,PE,-11.1,-77.61,61.63,79,81,10.38
Gorlice,PL,49.66,21.16,62.37,88,19,3.06
Port-Cartier,CA,50.03,-66.87,63.21,100,75,2.24
Wareham,US,41.76,-70.72,82.2,48,1,11.41
Nome,US,64.5,-165.41,51.01,87,90,17.22
Saskylakh,RU,71.92,114.08,48,71,42,13.02
Nikolayevsk-on-Amur,RU,53.14,140.73,73.65,55,37,2.84
Provideniya,RU,64.38,-173.3,51.8,93,90,6.71
Port Blair,IN,11.67,92.75,81.97,79,100,9.95
Ulladulla,AU,-35.35,150.47,55.02,100,75,28.86
Sitka,US,57.05,-135.33,57.2,82,75,4.7
Pitiquito,MX,30.7,-112.08,102.83,30,0,4
Rawson,AR,-43.3,-65.1,42.98,61,25,17.05
Tautira,PF,-17.73,-149.15,82.4,69,75,12.75
Berdigestyakh,RU,62.1,126.7,61.61,75,96,8.32
Shimanovsk,RU,52,127.7,74.1,75,0,6.58
Sulangan,PH,11.14,123.72,83.59,74,100,12.41
Aklavik,CA,68.22,-135.01,69.8,46,75,13.87
Pitimbu,BR,-7.47,-34.81,73.4,94,75,11.41
Diapaga,BF,12.07,1.79,78.06,81,99,6.67
Maniitsoq,GL,65.42,-52.9,45.45,95,100,13.69
Dongsheng,CN,39.82,109.98,71.37,49,31,7.31
Yulara,AU,-25.24,130.99,46.4,52,0,5.82
Yamada,JP,39.47,141.95,65.91,94,100,3.44
Midland,US,32,-102.08,93.96,30,75,11.41
Bangor,GB,54.65,-5.67,53.89,87,45,10.29
Severo-Kuril'sk,RU,50.68,156.12,53.73,88,93,17.16
Tadine,NC,-21.55,167.88,74.19,75,100,17.98
Ketchikan,US,55.34,-131.65,62.6,72,20,14.99
Champerico,GT,14.3,-91.92,77,94,90,4.7
Tiznit Province,MA,29.58,-9.5,80.91,38,33,0.94
Bengkulu,ID,-3.8,102.27,73.78,81,74,4.21
Marystown,CA,47.17,-55.15,61.23,92,69,4.41
Bredasdorp,ZA,-34.53,20.04,41,93,0,1.12
High Level,CA,58.52,-117.14,86,30,40,8.05
Mehamn,NO,71.04,27.85,60.17,71,0,9.75
Coyhaique,CL,-45.58,-72.07,41,60,20,3.36
Baruun-Urt,MN,46.68,113.28,60.84,82,2,11.39
Honningsvåg,NO,70.98,25.97,60.17,70,0,15.48
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,69.8,68,25,1.79
Lagoa,PT,39.05,-27.98,73.8,88,0,4.63
Isangel,VU,-19.55,169.27,78.8,78,40,8.05
Saquena,PE,-4.67,-73.52,75.4,92,16,1.95
Abhā,SA,18.22,42.51,65.25,77,40,4.72
Ilawe,NG,7.87,4.43,71.44,97,97,6.11
Kyzyl-Suu,KG,42.34,78,56.16,41,0,6.22
Salinópolis,BR,-0.61,-47.36,79.65,83,0,12.86
Charter Township of Clinton,US,42.59,-82.92,84.29,66,90,10.29
Sioux Lookout,CA,50.1,-91.92,66.2,77,75,11.41
Pevek,RU,69.7,170.31,35.98,84,0,10.54
Viedma,AR,-40.81,-63,42.01,67,8,4
Matehuala,MX,23.65,-100.65,66.38,79,100,6.69
Kavieng,PG,-2.57,150.8,83.16,75,14,9.75
Bairiki Village,KI,1.33,172.98,87.8,70,75,11.41
Zyryanka,RU,65.75,150.85,66.25,69,97,12.26
‘Ewa Beach,US,21.32,-158.01,86.27,52,75,12.75
Hofn,IS,64.25,-15.21,52.65,65,97,12.95
Tasiilaq,GL,65.61,-37.64,42.8,87,100,6.93
Manggar,ID,-2.88,108.27,80.11,82,91,12.71
Lüderitz,NA,-26.65,15.16,57.2,87,0,2.24
Roald,NO,62.58,6.13,59.02,87,100,8.05
Urucará,BR,-2.54,-57.76,82.35,55,15,1.9
Winslow,US,35.02,-110.7,84.2,39,75,5.82
Hampton,CA,45.53,-65.85,66.96,94,75,5.82
Opuwo,NA,-18.06,13.84,58.64,35,0,8.32
Sladkovo,RU,55.53,70.34,52.75,90,0,5.03
Lafia,NG,8.48,8.52,73.45,96,100,3.69
Haradok,BY,55.46,29.98,62.28,95,92,5.55
Vao,NC,-22.67,167.48,71.49,82,90,23.2
Smithers,CA,54.78,-127.17,73.4,38,75,11.41
São João da Barra,BR,-21.64,-41.05,72.12,78,0,15.05
Kaitangata,NZ,-46.28,169.85,46.99,63,100,5.99
Alofi,NU,-19.06,-169.92,78.8,65,40,18.34
Sonāri,IN,27.07,95.03,76.91,94,100,2.93
Ayan,RU,56.45,138.17,62.85,77,99,7.4
Marsá Maţrūḩ,EG,31.35,27.25,78.8,83,0,5.82
Zeya,RU,53.75,127.27,74.32,83,10,4.68
Kwinana,AU,-32.25,115.77,53.2,66,40,4.38
Vorotynets,RU,56.06,45.86,57.4,89,0,1.66
Antas,PT,41.74,-8.31,66,88,0,4.47
Halifax,CA,44.65,-63.57,66.78,80,100,1.99
Gravdal,NO,68.12,13.5,55.02,90,47,3.56
Taganak,PH,6.08,118.3,77.94,94,20,4.7
Bandarbeyla,SO,9.49,50.81,79.5,73,0,22.26
Moindou,NC,-21.69,165.68,78.8,54,97,10.29
Changde,CN,29.05,111.68,75.22,92,1,1.77
Staryy Nadym,RU,65.61,72.68,46.96,71,92,13.35
Te Anau,NZ,-45.42,167.72,43.27,79,100,1.19
Havelock,US,34.88,-76.9,85.24,79,17,7
Chokurdakh,RU,70.63,147.92,46.69,61,100,2.8
Horki,BY,54.29,30.98,63.27,94,98,5.73
Bella Union,UY,-30.28,-57.6,55.2,77,72,8.39
Kangaba,ML,11.93,-8.42,74.23,92,90,4.34
Coruripe,BR,-10.13,-36.18,73.89,80,35,11.59
Matata,NZ,-37.88,176.75,54,71,5,5.37
Dudinka,RU,69.41,86.18,53.6,58,33,4.47
Souillac,MU,-20.52,57.52,66.2,88,40,2.24
Yar-Sale,RU,66.83,70.83,48.22,73,100,12.8
Sechura,PE,-5.56,-80.82,68.97,64,5,16.8
Baykit,RU,61.67,96.37,55.06,80,88,1.68
Leshukonskoye,RU,64.9,45.76,57.58,96,15,2.84
Teeli,RU,51.03,90.23,55.04,89,100,1.79
Huilong,CN,31.81,121.66,83.23,94,95,3
Cockburn Town,BS,24.03,-74.52,82.47,81,0,12.33
Buraidah,SA,26.33,43.98,93.2,38,20,3.36
Klaksvík,FO,62.23,-6.59,46.4,93,100,13.87
Diu,IN,20.71,70.98,82.78,81,61,9.93
Evensk,RU,61.95,159.23,54.34,86,99,7.65
Puerto Carreño,CO,6.19,-67.49,80.6,74,40,4.7
Half Moon Bay,US,37.46,-122.43,70.54,82,75,8.05
Casambalangan,PH,18.38,122.13,81.32,83,98,2.82
Kismayo,SO,-0.36,42.55,77.67,83,56,21.56
Gloggnitz,AT,47.67,15.94,66.99,81,17,1.99
Meulaboh,ID,4.14,96.13,74.62,95,100,3.58
Carauari,BR,-4.88,-66.9,78.84,70,69,0.85
Itarema,BR,-2.92,-39.92,78.33,74,12,14.92
Kestel,TR,40.2,29.21,64.4,82,0,2.64
Arauca,CO,7.08,-70.76,87.8,62,40,3.36
Victor Harbor,AU,-35.57,138.62,46,92,34,3.67
Port-Gentil,GA,-0.72,8.78,75.2,94,40,13.51
Kaeo,NZ,-35.1,173.78,63,3,98,8.99
Batemans Bay,AU,-35.72,150.18,57.99,98,100,3
Jiazi,CN,22.88,116.07,83.7,82,3,5.93
Iskateley,RU,67.68,53.15,50.02,84,9,6.8
Skjervøy,NO,70.03,20.97,58.33,71,21,12.24
Ushtobe,KZ,45.25,77.98,69.31,42,41,6.46
Getahovit,AM,40.9,45.14,72.21,59,0,2.53
Alice Springs,AU,-23.7,133.88,44.6,65,0,3.36
Verkhnyaya Inta,RU,65.98,60.31,49.03,77,60,7.72
Takoradze,GH,4.88,-1.76,74.89,87,95,10.69
Vallenar,CL,-28.57,-70.76,66.83,33,0,2.06
Bonavista,CA,48.65,-53.11,56.25,94,86,8.3
Darhan,MN,49.49,105.92,62.85,74,0,1.52
Flagstaff,US,35.2,-111.65,83.53,24,20,14.99
Vanimo,PG,-2.67,141.3,81.54,74,43,3.89
Kasama,ZM,-10.21,31.18,52.11,77,41,4.41
Kemijärvi,FI,66.71,27.43,55.51,79,100,2.35
Macedo de Cavaleiros,PT,41.54,-6.96,66.99,49,0,1.01
Norman Wells,CA,65.28,-126.83,73.4,38,75,8.05
Vryburg,ZA,-26.96,24.73,45.63,56,0,9.04
Amberley,NZ,-43.17,172.73,42.35,100,90,5.82
São Filipe,CV,14.9,-24.5,75.65,76,88,8.3
Ola,RU,59.58,151.28,58.15,85,78,2.62
Bud,NO,62.91,6.91,60.8,77,98,6.93
Bocaiúva,BR,-17.11,-43.81,71.6,46,32,4.7
Corbélia,BR,-24.8,-53.31,62.64,86,3,2.8
Santa Barbara,US,34.42,-119.7,73.96,60,1,10.29
Buluang,PH,13.31,123.34,80.02,83,100,2.24
Vagay,RU,57.94,69.02,46.9,85,11,5.91
Levelland,US,33.59,-102.38,91.72,29,75,4.7
Bilma,NE,18.69,12.92,90.77,39,97,8.95
Shingū,JP,33.73,135.98,78.8,100,75,6.93
Ovsyanka,RU,55.96,92.55,53.6,93,1,1.9
Mareeba,AU,-17,145.43,70.9,49,67,1.99
Kasangulu,CD,-4.59,15.17,71.6,78,3,8.39
Iqaluit,CA,63.75,-68.51,55.2,76,75,2.24
Charters Towers,AU,-20.1,146.27,58.37,38,0,16.17
Dingle,IE,52.14,-10.27,56.12,84,12,14.38
Arkhangelsk,RU,64.54,40.54,57.2,100,40,2.68
Ribnitz-Damgarten,DE,54.25,12.47,60.8,93,75,6.93
Bacabac,PH,15.73,120.42,80.83,81,78,2.51
Grindavik,IS,63.84,-22.43,48.2,81,75,16.11
Chara,RU,56.91,118.26,71.73,63,10,1.59
Edd,ER,13.93,41.69,84.43,74,79,18.81
San Ramón,BO,-13.28,-64.72,79.65,45,0,2.82
Sennar,SD,13.57,33.57,77.65,78,100,11.81
Warrington,US,30.38,-87.28,80.17,78,90,8.05
Alta Floresta,BR,-9.88,-56.09,80.6,51,0,2.24
Ghanzi,BW,-21.57,21.78,48.99,46,0,10.42
Fortuna,US,40.6,-124.16,65.57,68,4,4
Oktyabr'skoye,RU,43.06,44.74,64.2,93,0,6.71
Comodoro Rivadavia,AR,-45.87,-67.5,42.8,56,10,10.29
Banda Aceh,ID,5.56,95.32,77.67,88,100,16.53
Moyale,KE,3.52,39.06,69.1,71,54,14.58
Bârnova,RO,47.07,27.62,68,72,72,8.05
Ouadda,CF,8.08,22.4,67.55,95,100,3.42
Semikarakorsk,RU,47.52,40.81,77,41,20,13.42
Sistranda,NO,63.73,8.83,62.6,67,66,11.41
Rafai,CF,4.95,23.92,68.38,94,100,1.61
Luna,PH,10.97,123.23,81.01,78,100,12.86
Zhigansk,RU,66.77,123.37,49.66,76,81,12.24
Hay River,CA,60.82,-115.8,69.8,73,75,10.29
Bonthe,SL,7.53,-12.51,76.08,81,95,9.44
Muros,ES,42.78,-9.06,70,86,21,5.03
Tyumentsevo,RU,53.32,81.5,59.18,80,93,3.02
Coquimbo,CL,-29.95,-71.34,55.4,82,0,2.24
Pūndri,IN,29.75,76.55,89.53,53,11,4.99
North Bend,US,43.41,-124.22,70.95,77,1,17.22
Ourém,BR,-1.55,-47.11,75.09,66,0,4.79
Geraldton,AU,-28.77,114.6,59,100,90,6.93
Lady Frere,ZA,-31.7,27.23,43.9,59,0,5.01
Butembo,CD,0.15,29.28,56.25,97,25,2.62
Redlands,US,34.06,-117.18,91.36,17,5,6.93
Labuhan,ID,-6.88,112.21,74.43,82,46,10.31
Ca Mau,VN,9.18,105.15,77.68,90,24,2.64
Catalina,CA,48.52,-53.08,56.64,94,84,8.37
Alugan,PH,12.22,125.48,78.71,85,100,2.86
Touros,BR,-5.2,-35.46,73.4,88,40,4.7
Dakar,SN,14.69,-17.44,82.4,78,20,4.7
Solnechnyy,RU,50.72,136.63,73.24,69,29,2.1
Muroto-misakicho,JP,33.28,134.15,80.6,94,75,4.7
Constitución,CL,-35.33,-72.42,48.09,63,0,10.6
Anadyr,RU,64.75,177.48,69.8,60,0,8.95
Kīhei,US,20.79,-156.47,81.91,49,20,27.51
Sungai Penuh,ID,-2.08,101.38,61.27,81,98,3.2
Lyuban',BY,52.8,28,63.37,91,83,1.34
Vestmannaeyjar,IS,63.44,-20.27,52.47,73,0,22.35
Roma,AU,-26.58,148.78,52.34,54,1,13
Aqsū,KZ,52.03,76.92,59,93,78,6.71
Kungurtug,RU,50.6,97.52,50.86,71,57,1.9
Samarai,PG,-10.62,150.67,79.61,89,93,10.6
